Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,0,5,10,20,20,5,24.3,453,2,1.7000000000000002,0,0,0,0,1
LookAhead,Primitive,1,5,10,20,20,5,39.2,765,2,7.45,1,0,0,0,0
LookAhead,Primitive,2,5,10,20,20,5,36.2,720,1,7.9,1,0,0,0,0
LookAhead,Primitive,3,5,10,20,20,5,18.0,377,1,2.9000000000000004,0,0,1,0,0
LookAhead,Primitive,4,5,10,20,20,5,36.8,724,1,8.200000000000001,1,0,0,0,0
LookAhead,Primitive,5,5,10,20,20,5,39.900000000000006,779,2,8.15,1,0,0,0,0
LookAhead,Primitive,6,5,10,20,20,5,36.6,705,0,,1,0,0,0,0
LookAhead,Primitive,7,5,10,20,20,5,36.9,710,3,7.966666666666668,1,0,0,0,0
LookAhead,Primitive,8,5,10,20,20,5,37.3,696,0,,1,0,0,0,0
LookAhead,Primitive,9,5,10,20,20,5,39.2,717,2,14.45,1,0,0,0,0
LookAhead,Primitive,10,5,10,20,20,5,36.3,710,2,10.25,1,0,0,0,0
LookAhead,Primitive,11,5,10,20,20,5,37.6,722,0,,1,0,0,0,0
LookAhead,Primitive,12,5,10,20,20,5,41.2,808,4,7.675000000000001,1,0,0,0,0
LookAhead,Primitive,13,5,10,20,20,5,38.7,752,5,7.640000000000001,1,0,0,0,0
LookAhead,Primitive,14,5,10,20,20,5,39.8,695,1,8.8,1,0,0,0,0
LookAhead,Primitive,15,5,10,20,20,5,37.1,689,2,8.75,1,0,0,0,0
LookAhead,Primitive,16,5,10,20,20,5,37.3,705,1,6.6000000000000005,1,0,0,0,0
LookAhead,Primitive,17,5,10,20,20,5,39.2,734,2,6.25,1,0,0,0,0
LookAhead,Primitive,18,5,10,20,20,5,14.3,300,2,4.15,0,0,0,0,1
LookAhead,Primitive,19,5,10,20,20,5,38.2,697,0,,1,0,0,0,0
LookAhead,Primitive,20,5,10,20,20,5,37.3,676,1,6.6000000000000005,1,0,0,0,0
LookAhead,Primitive,21,5,10,20,20,5,37.9,729,3,9.1,1,0,0,0,0
LookAhead,Primitive,22,5,10,20,20,5,37.8,700,2,7.800000000000001,1,0,0,0,0
LookAhead,Primitive,23,5,10,20,20,5,37.3,703,1,4.7,1,0,0,0,0
LookAhead,Primitive,24,5,10,20,20,5,38.400000000000006,770,3,8.333333333333334,1,0,0,0,0
LookAhead,Primitive,25,5,10,20,20,5,6.1000000000000005,150,1,3.8,0,0,1,0,0
LookAhead,Primitive,26,5,10,20,20,5,35.6,683,2,7.700000000000001,1,0,0,0,0
LookAhead,Primitive,27,5,10,20,20,5,36.6,723,2,4.95,1,0,1,0,0
LookAhead,Primitive,28,5,10,20,20,5,39.6,719,2,9.2,1,0,0,0,0
LookAhead,Primitive,29,5,10,20,20,5,7.300000000000001,178,2,3.2,0,0,0,0,1
LookAhead,Primitive,0,5,10,20,40,5,13.9,498,2,2.9000000000000004,0,0,1,0,0
LookAhead,Primitive,1,5,10,20,40,5,23.1,782,3,4.433333333333334,1,0,0,0,0
LookAhead,Primitive,2,5,10,20,40,5,21.5,668,1,1.9,1,0,0,0,0
