Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(40, 250)",3.4000000000000004,248,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(40, 460)",7.0,460,1,2.4000000000000004,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(250, 40)",3.4000000000000004,285,1,0.3,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(250, 250)",5.0,392,2,2.8,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(250, 460)",7.1000000000000005,584,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(460, 40)",6.9,476,2,1.6,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(460, 250)",7.800000000000001,657,5,3.4,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 40)","(460, 460)",10.2,681,3,5.0,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(40, 40)",3.7,257,1,1.6,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(40, 460)",3.4000000000000004,230,1,2.4000000000000004,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(250, 40)",5.1000000000000005,396,2,1.7500000000000002,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(250, 250)",3.4000000000000004,314,1,1.3,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(250, 460)",5.1000000000000005,367,1,3.9,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(460, 40)",7.2,602,3,3.266666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(460, 250)",6.9,547,3,2.966666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 250)","(460, 460)",7.1000000000000005,578,1,1.7000000000000002,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(40, 40)",6.9,404,1,1.9,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(40, 250)",3.4000000000000004,211,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(250, 40)",7.9,580,4,2.9250000000000007,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(250, 250)",5.1000000000000005,377,1,1.1,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(250, 460)",3.4000000000000004,228,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(460, 40)",10.3,659,3,3.8333333333333335,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(460, 250)",7.1000000000000005,566,1,2.2,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(40, 460)","(460, 460)",6.9,420,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(40, 40)",4.0,276,2,2.5,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(40, 250)",4.800000000000001,382,1,4.3,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(40, 460)",7.1000000000000005,568,2,4.25,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(250, 250)",3.4000000000000004,288,1,1.7000000000000002,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(250, 460)",6.9,522,1,5.2,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(460, 40)",3.5,282,3,2.6333333333333333,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(460, 250)",4.9,394,3,3.9333333333333336,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 40)","(460, 460)",7.2,571,5,4.66,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 250)","(40, 40)",5.1000000000000005,387,2,2.8,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 250)","(40, 250)",3.4000000000000004,298,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 250)","(40, 460)",5.1000000000000005,357,1,2.3000000000000003,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,10,5,10,0,20,60,0,"(250, 250)","(250, 40)",5.1000000000000005,352,1,3.4000000000000004,1,0,0,0,0,1
